,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
33,14916,35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,20002.520257023803
34,7685,25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.520257023803
35,20194,,,,,3,Meal,scooter,0.0,No,Metropolitian,37,20002.520257023803
36,13458,26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,20002.520257019383
37,40412,37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,20002.520257019383
38,25461,32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,20002.520257017437
39,7665,37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,20002.520257017437
40,36516,32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,20002.520257017437
41,33886,20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,20002.520257017437
42,27558,28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,20002.520257017288
43,9595,37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,20002.520257017288
44,37624,30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,20002.520257017288
45,9722,34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,20002.520257017288
46,33581,20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,20002.52025699965
47,42416,22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.52025699965
48,22362,39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,20002.520256255022
49,32554,26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,20002.52025624634
50,43306,31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,20002.52025624634
51,9693,35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.52025624097
52,8467,22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,20002.52025624097
53,40278,38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,20002.52025624097
54,22825,22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,20002.520256238895
55,15460,24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,20002.520256238895
56,5860,30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520256238895
57,22802,36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,20002.520256236596
58,16266,38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,20002.520256236596
59,30494,34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520256236596
60,45124,24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,20002.520256217802
61,24387,21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,20002.520256217802
62,10059,33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,20002.520256217802
63,8975,30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,20002.520256211184
64,3106,22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,20002.520256211184
65,2676,20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,20002.520256211184
66,38074,25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,20002.520256208547
67,11444,25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,20002.520256208547
68,20024,34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,20002.520256208547
69,31288,21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520256208547
70,39262,21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,20002.520256200485
71,25072,22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,20002.520256200485
72,45408,24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,20002.520256200485
73,15617,28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,20002.52025619676
74,10089,27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,20002.52025619676
75,14712,23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.52025619676
76,25253,22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.52025619676
77,24679,36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,20002.52025619003
78,7724,35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,20002.52025619003
79,1411,27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,20002.52025619003
80,14736,37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.520256189728
81,4639,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520256189728
82,29786,33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520256177275
83,29314,30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,20002.520256177275
84,19384,22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,20002.520251727365
85,15107,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,20002.520251719383
86,43332,30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520251676986
87,43139,36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,20002.520251676986
88,18326,33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,20002.520251676986
89,4526,30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,20002.5202516745
90,45247,22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20002.5202516745
91,34931,34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,20002.5202516745
92,22896,31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.5202516745
93,32892,35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,20002.5202516745
94,19357,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.520251672508
95,13438,,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,20002.520251672508
96,44907,32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,20002.520251672508
97,14680,33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,20002.520251672293
98,8165,24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,20002.520251672293
99,15390,20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,20002.520251672293
100,19628,35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,20002.520251672246
101,42694,28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251672246
102,25562,26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,20002.520251671245
103,11327,23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,20002.520251671245
104,14606,31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,20002.520251671245
105,24157,29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,20002.520251671245
106,42378,,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,20002.520251671245
107,7152,39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,20002.520251671245
108,28209,21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.520251671107
109,28762,26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.520251671107
110,24910,29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,20002.520251671107
111,18869,34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,20002.520251669677
112,24136,30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,20002.520251669677
113,45284,34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520251669677
114,31420,33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.520251668342
115,4202,23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,20002.520251668342
116,2239,33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,20002.520251668342
117,18841,23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,20002.520251668342
118,14875,31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,20002.520251666898
119,1412,39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,20002.520251666898
120,37585,20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,20002.520251666898
121,20496,37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,20002.52025139077
122,6612,,,Stormy,Low,2,Snack,scooter,1.0,No,,14,20002.52025139077
123,36147,31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,20002.52025139077
124,5679,22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.52025139077
125,3560,30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.52025139077
126,6186,38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.52025139077
127,20082,34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,20002.52025139077
128,5878,34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,20002.52025139077
129,14518,28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.52025139077
130,4097,27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,20002.52025139077
131,25308,,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,20002.52025139077
132,36285,22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,20002.52025139077
133,26073,31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.52025139077
134,25577,35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,20002.520251342885
135,43567,30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,20002.520251342885
136,6871,35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,20002.520251342885
137,21350,35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,20002.520251342885
138,8231,24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,20002.520251342885
139,12969,36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,20002.520251342885
140,3635,27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,20002.520251342885
141,3096,39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,20002.520251342885
142,24580,22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,20002.520251342885
143,12617,39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,20002.520251332953
144,29712,29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,20002.520251332953
145,39750,39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,20002.520251332953
146,26814,34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
147,40013,36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,20002.520251332953
148,8450,35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,20002.520251332953
149,32266,27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,20002.520251332953
150,33278,29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,20002.520251332953
151,6914,,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,20002.520251332953
152,39416,30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,20002.520251332953
153,21502,23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,20002.520251332953
154,45394,23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.520251332953
155,14447,32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
156,4342,26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
157,4998,25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,20002.520251332742
158,20649,36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,20002.520251332742
159,6898,23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,20002.520251332742
160,24184,24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,20002.520251332742
161,10065,26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,20002.520251332742
162,35279,36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520251332742
163,24015,31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,20002.520251332742
164,21245,37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,20002.520251332742
165,26135,38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,20002.520251332742
166,43882,26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.520251332742
167,32614,20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,20002.520251332742
168,36548,26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,20002.520251332742
169,20166,35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,20002.520251332055
170,7722,34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,20002.520251332055
171,19293,22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20002.520251332055
172,1357,25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,20002.520251332055
173,21998,36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,20002.520251332055
174,2525,34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,20002.520251332055
175,13282,37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,20002.520251332055
176,9027,26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,20002.520251332055
177,35870,28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,20002.520251332055
178,30633,25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,20002.520251332055
179,39357,32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,20002.520251332055
180,18392,26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.520251332055
181,16993,37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,20002.520251332055
182,25285,31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,20002.520251332055
183,35185,27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,20002.520251329926
184,44949,39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.520251329926
185,21046,28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,20002.520251329926
186,37365,28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.520251329926
187,43043,26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520251329926
188,28095,39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,20002.520251329926
189,8133,26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,20002.520251329926
190,5306,30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,20002.520251329926
191,2577,33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,20002.520251329926
192,41623,27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,20002.520251329926
193,44466,37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,20002.520251329926
194,7978,27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,20002.520251329177
195,20794,39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,20002.520251329177
196,5421,28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,20002.520251329177
197,14883,34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,20002.520251329177
198,8982,31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,20002.520251329177
199,30634,38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,20002.520251329177
200,7409,34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520251329177
201,12507,,,,,3,Snack,electric_scooter,2.0,No,Urban,40,20002.520251329177
202,251,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,20002.520251329177
203,35570,37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.520251329177
204,12083,28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520251329177
205,36010,37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,20002.520251329177
206,4819,37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,20002.520251329177
207,34442,37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,20002.520251327653
208,19652,22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,20002.520251327653
209,20966,39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.520251327653
210,26389,26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,20002.520251327653
211,20417,35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,20002.520251327653
212,40484,30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.520251327653
213,35120,27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,20002.520251327653
214,8860,30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,20002.520251327653
215,26354,30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,20002.520251327653
216,32645,23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,20002.520251327653
217,29368,32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.520251327653
218,31751,31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251320853
219,45051,32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,20002.520251320853
220,542,20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,20002.520251320853
221,3852,24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,20002.520251320853
222,12033,37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,20002.520251320853
223,6002,27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,20002.520251320853
224,5198,20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,20002.520251320853
225,27565,36.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,20002.520251320853
226,39492,24.0,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,20002.520251320853
227,8354,28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,20002.520251320853
228,24393,32.0,4.7,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,20002.520251320722
229,39817,33.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520251320722
230,25334,21.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,44,20002.520251320722
231,12423,38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,20002.520251320722
232,20819,28.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,26,20002.520251320722
233,42962,36.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,20002.520251320722
234,26078,26.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520251320722
235,45573,30.0,4.6,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,20002.520251320722
236,39774,23.0,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,20002.520251320722
237,39751,38.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,20002.520251320722
238,6326,33.0,4.7,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,17,20002.520251320722
239,13413,28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,22,20002.520251320722
240,2917,28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,20002.520251320722
241,2229,22.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,20002.520251320722
242,22807,27.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.52025131765
243,16158,20.0,4.4,Fog,Jam,1,Meal,scooter,2.0,No,,32,20002.52025131765
244,7963,25.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.52025131765
245,26827,21.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.52025131765
246,31905,29.0,5.0,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,20002.52025131765
247,20458,34.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,42,20002.52025131765
248,39060,22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.52025131765
